Name,Description,Stars,Language,Repo URL,Difficulty
120-Data-Science-Interview-Questions,Answers to 120 commonly asked data science interview questions.,3757,,https://github.com/kojino/120-Data-Science-Interview-Questions,Beginner
Data-Science-Roadmap,Data Science Roadmap from A to Z,3545,,https://github.com/Moataz-Elmesmary/Data-Science-Roadmap,Beginner
ml-workspace,🛠 All-in-one web-based IDE specialized for machine learning and data science.,3469,Jupyter Notebook,https://github.com/ml-tooling/ml-workspace,Beginner
tensorwatch,"Debugging, monitoring and visualization for Python Machine Learning and Data Science",3431,Jupyter Notebook,https://github.com/microsoft/tensorwatch,Beginner
data-science-on-aws,"AI and Machine Learning with Kubeflow, Amazon EKS, and SageMaker",3373,Jupyter Notebook,https://github.com/data-science-on-aws/data-science-on-aws,Beginner
deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,3319,Python,https://github.com/google/deepvariant,Beginner
spark-notebook,Interactive and Reactive Data Science using Scala and Spark.,3151,JavaScript,https://github.com/spark-notebook/spark-notebook,Beginner
zero-to-mastery-ml,All course materials for the Zero to Mastery Machine Learning and Data Science course.,3091,Jupyter Notebook,https://github.com/mrdbourke/zero-to-mastery-ml,Beginner
positron,"Positron, a next-generation data science IDE",3023,TypeScript,https://github.com/posit-dev/positron,Beginner
Data-science-best-resources,Carefully curated resource links for data science in one place,3002,,https://github.com/tirthajyoti/Data-science-best-resources,Beginner
Perfect-Roadmap-To-Learn-Data-Science-In-2024,,2978,,https://github.com/krishnaik06/Perfect-Roadmap-To-Learn-Data-Science-In-2024,Beginner
LearnDataScience,Open Content for self-directed learning in data science,2969,Jupyter Notebook,https://github.com/nborwankar/LearnDataScience,Beginner
free-data-science-books,Free resources for learning data science,2932,,https://github.com/chaconnewu/free-data-science-books,Beginner
Data-Science-Interview-Resources,A repository listing out the potential sources which will help you in preparing for a Data Science/Machine Learning interview. New resources added frequently.,2892,,https://github.com/rbhatia46/Data-Science-Interview-Resources,Beginner
awesome-python-data-science,Probably the best curated list of data science software in Python.,2699,,https://github.com/krzjoa/awesome-python-data-science,Beginner
Learn_Data_Science_in_3_Months,"This is the Curriculum for ""Learn Data Science in 3 Months"" By Siraj Raval on Youtube",2694,,https://github.com/llSourcell/Learn_Data_Science_in_3_Months,Beginner
Data-Science-Cheatsheet,,2551,TeX,https://github.com/ml874/Data-Science-Cheatsheet,Beginner
data-science-question-answer,A repo for data science related questions and answers,2420,Jupyter Notebook,https://github.com/jayinai/data-science-question-answer,Beginner
Linear-Algebra-With-Python,"Lecture Notes for Linear Algebra Featuring Python. This series of lecture notes will walk you through all the must-know concepts that set the foundation of data science or advanced quantitative skillsets. Suitable for statistician/econometrician, quantitative analysts, data scientists and etc. to quickly refresh the linear algebra with the assistance of Python computation and visualization.",2352,Jupyter Notebook,https://github.com/weijie-chen/Linear-Algebra-With-Python,Beginner
datasciencecoursera,Data Science Repo and blog for John Hopkins Coursera Courses. Please let me know if you have any questions.,2239,HTML,https://github.com/mGalarnyk/datasciencecoursera,Beginner
Book6_First-Course-in-Data-Science,Book_6_《数据有道》 |   鸢尾花书：从加减乘除到机器学习；欢迎大家批评指正！纠错多的同学会得到赠书感谢！,2199,Jupyter Notebook,https://github.com/Visualize-ML/Book6_First-Course-in-Data-Science,Beginner
PythonDataScience-Collections,最全数据分析资料汇总（含python、爬虫、数据库、大数据、tableau、统计学等）,2189,,https://github.com/hi-weijun/PythonDataScience-Collections,Beginner
colour,Colour Science for Python,2186,Python,https://github.com/colour-science/colour,Beginner
DataScienceR,"a curated list of R tutorials for Data Science, NLP and Machine Learning ",2024,R,https://github.com/ujjwalkarn/DataScienceR,Beginner
nannyml,nannyml: post-deployment data science in python,2019,Python,https://github.com/NannyML/nannyml,Beginner
SGX-Full-OrderBook-Tick-Data-Trading-Strategy,Providing the solutions for high-frequency trading (HFT) strategies using data science approaches (Machine Learning) on Full Orderbook Tick Data.,1988,Jupyter Notebook,https://github.com/rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,Beginner
the-turing-way,Host repository for The Turing Way: a how to guide for reproducible data science,1966,TeX,https://github.com/the-turing-way/the-turing-way,Beginner
interview-question-data-science-,,1946,,https://github.com/iNeuronai/interview-question-data-science-,Beginner
Data-Science-Projects,Collection of data science projects in Python,1871,Jupyter Notebook,https://github.com/veb-101/Data-Science-Projects,Beginner
data-setup,Setup instructions for Le Wagon's students on their first day of Data Science Bootcamp,1852,Ruby,https://github.com/lewagon/data-setup,Beginner
mit-15-003-data-science-tools,Study guides for MIT's 15.003 Data Science Tools,1809,,https://github.com/shervinea/mit-15-003-data-science-tools,Beginner
data-science-complete-tutorial,For extensive instructor led learning,1803,Jupyter Notebook,https://github.com/edyoda/data-science-complete-tutorial,Beginner
6-Months-Data-Science-Roadmap-,,1786,,https://github.com/krishnaik06/6-Months-Data-Science-Roadmap-,Beginner
I-want-to-study-Data-Science,데이터 사이언스를 공부하고 싶은 분들을 위한 글 ,1760,,https://github.com/Team-Neighborhood/I-want-to-study-Data-Science,Beginner
ArcticDB,"ArcticDB is a high performance, serverless DataFrame database built for the Python Data Science ecosystem.",1721,C++,https://github.com/man-group/ArcticDB,Beginner
DS-Take-Home,My solution to the book A Collection of Data Science Take-Home Challenges,1686,Jupyter Notebook,https://github.com/JifuZhao/DS-Take-Home,Beginner
DataSciComp,A collection of popular Data Science Challenges/Competitions || Countdown timers to keep track of the entry deadlines.,1666,JavaScript,https://github.com/iphysresearch/DataSciComp,Beginner
deeplearning-mindmap,A mindmap summarising Deep Learning concepts.,1666,,https://github.com/dformoso/deeplearning-mindmap,Beginner
DataScienceSpecialization.github.io,http://DataScienceSpecialization.github.io,1643,CSS,https://github.com/DataScienceSpecialization/DataScienceSpecialization.github.io,Beginner
my_notes,"My small cheatsheets for data science, ML, computer science and more.",1634,,https://github.com/merveenoyan/my_notes,Beginner
stats337,Readings in applied data science,1616,R,https://github.com/hadley/stats337,Beginner
DAT8,"General Assembly's 2015 Data Science course in Washington, DC",1608,Jupyter Notebook,https://github.com/justmarkham/DAT8,Beginner
data-science-interview-questions-and-answers,Data science interview questions with answers. Not ideally (yet),1596,,https://github.com/iamtodor/data-science-interview-questions-and-answers,Beginner
Data-Science-45min-Intros,"Ipython notebook presentations for getting starting with basic programming, statistics and machine learning techniques",1582,Jupyter Notebook,https://github.com/DrSkippy/Data-Science-45min-Intros,Beginner
anonymous_github,Anonymous Github is a proxy server to support anonymous browsing of Github repositories for open-science code and data.,1575,TypeScript,https://github.com/tdurieux/anonymous_github,Beginner
pslab-expeyes,PSLab for ExpEYES - Science Experiments and Data Acquisition for Physics Education https://pslab.io,1537,Python,https://github.com/fossasia/pslab-expeyes,Beginner
ChatGPT-Data-Science-Prompts,A repository of 60 useful data science prompts for ChatGPT,1490,,https://github.com/travistangvh/ChatGPT-Data-Science-Prompts,Beginner
Data-Science-Projects-For-Resumes,,1455,,https://github.com/krishnaik06/Data-Science-Projects-For-Resumes,Beginner
blogs,Jupyter notebooks that support my graph data science blog posts at https://bratanic-tomaz.medium.com/,1451,Jupyter Notebook,https://github.com/tomasonjo/blogs,Beginner
hackermath,Introduction to Statistics and Basics of Mathematics for Data Science - The Hacker's Way,1449,Jupyter Notebook,https://github.com/amitkaps/hackermath,Beginner
galaxy,Data intensive science for everyone.,1447,Python,https://github.com/galaxyproject/galaxy,Beginner
lectures-labs,Slides and Jupyter notebooks for the Deep Learning lectures at Master Year 2 Data Science from Institut Polytechnique de Paris,1436,Jupyter Notebook,https://github.com/m2dsupsdlclass/lectures-labs,Beginner
covid19_scenarios,Models of COVID-19 outbreak trajectories and hospital demand,1355,JavaScript,https://github.com/neherlab/covid19_scenarios,Beginner
DataScienceStudyNotes,这个仓库保管从（数据科学学习手札69）开始的所有代码、数据等相关附件内容,1354,Jupyter Notebook,https://github.com/CNFeffery/DataScienceStudyNotes,Beginner
data-science-competition,"该仓库用于记录作者本人参加的各大数据科学竞赛的获奖方案源码以及一些新比赛的原创baseline. 主要涵盖：kaggle, 阿里天池，华为云大赛校园赛，百度aistudio，和鲸社区，datafountain等",1335,Python,https://github.com/DLLXW/data-science-competition,Beginner
data-science-on-gcp,"Source code accompanying book: Data Science on the Google Cloud Platform, Valliappa Lakshmanan, O'Reilly 2017",1322,Jupyter Notebook,https://github.com/GoogleCloudPlatform/data-science-on-gcp,Beginner
datacamp-light,Convert any blog or website to an interactive learning platform for data science,1321,TypeScript,https://github.com/datacamp/datacamp-light,Beginner
yt-channels-DS-AI-ML-CS,"A comprehensive list of 180+ YouTube Channels for Data Science,  Data Engineering, Machine Learning, Deep learning, Computer Science, programming, software engineering, etc.",1321,,https://github.com/benthecoder/yt-channels-DS-AI-ML-CS,Beginner
ppde642,USC urban data science course series in Python,1274,Jupyter Notebook,https://github.com/gboeing/ppde642,Beginner
ai-data-science-team,An AI-powered data science team of agents to help you perform common data science tasks 10X faster.,1232,Python,https://github.com/business-science/ai-data-science-team,Beginner
getting-started-with-genomics-tools-and-resources,"Unix, R and python tools for genomics and data science",1221,Shell,https://github.com/crazyhottommy/getting-started-with-genomics-tools-and-resources,Beginner
DataScienceInteractivePython,Python interactive dashboards for learning data science,1162,Jupyter Notebook,https://github.com/GeostatsGuy/DataScienceInteractivePython,Beginner
data-scientist-handbook,This is a repo with links to everything you'd ever want to learn about data science ,1132,,https://github.com/andresvourakis/data-scientist-handbook,Beginner
dstk,A collection of the best open data sets and open-source tools for data science,1130,Ruby,https://github.com/petewarden/dstk,Beginner
data-science-portfolio,"Portfolio of data science projects completed by me for academic, self learning, and hobby purposes.",1124,Jupyter Notebook,https://github.com/sajal2692/data-science-portfolio,Beginner
dsbook,Repository for data science book,1119,TeX,https://github.com/rafalab/dsbook,Beginner
FreeML,A List of Data Science/Machine Learning Resources (Mostly Free),1111,,https://github.com/Shujian2015/FreeML,Beginner
must-read-papers-for-ml,"Collection of must read papers for Data Science, or Machine Learning / Deep Learning Engineer",1081,,https://github.com/hurshd0/must-read-papers-for-ml,Beginner
telemanom,A framework for using LSTMs to detect anomalies in multivariate time series data. Includes spacecraft anomaly data and experiments from the Mars Science Laboratory and SMAP missions.,1067,Jupyter Notebook,https://github.com/khundman/telemanom,Beginner
Data-Science-Interview-Preperation-Resources,Resoruce to help you to prepare for your comming data science interviews ,1057,,https://github.com/youssefHosni/Data-Science-Interview-Preperation-Resources,Beginner
Complete-Data-Science-With-Machine-Learning-And-NLP-2024,,1039,Jupyter Notebook,https://github.com/krishnaik06/Complete-Data-Science-With-Machine-Learning-And-NLP-2024,Beginner
systemds,An open source ML system for the end-to-end data science lifecycle,1039,Java,https://github.com/apache/systemds,Beginner
hitchhikers-guide,The Hitchhiker's Guide to Data Science for Social Good,1011,Jupyter Notebook,https://github.com/dssg/hitchhikers-guide,Beginner
project-walkthroughs,"Data science, machine learning, and web development project code for https://www.youtube.com/c/Dataquestio .",1006,Jupyter Notebook,https://github.com/dataquestio/project-walkthroughs,Beginner
Interview-Prepartion-Data-Science,,991,Jupyter Notebook,https://github.com/krishnaik06/Interview-Prepartion-Data-Science,Beginner
TakeHomeDataChallenges,My solution to the book <A collection of Data Science Take-home Challenges>,982,Jupyter Notebook,https://github.com/stasi009/TakeHomeDataChallenges,Beginner
fin-ml,"This github repository of ""Machine Learning and Data Science Blueprints for Finance"". Please star.",973,Jupyter Notebook,https://github.com/tatsath/fin-ml,Beginner
datascience-box,Data Science Course in a Box,972,JavaScript,https://github.com/tidyverse/datascience-box,Beginner
Data-Science-Projects,"DataScience projects for learning : Kaggle challenges, Object Recognition, Parsing, etc.",969,Jupyter Notebook,https://github.com/alexattia/Data-Science-Projects,Beginner
python-data-science-cheatsheet,Python数据科学速查表,958,,https://github.com/jaystone776/python-data-science-cheatsheet,Beginner
d6tflow,Python library for building highly effective data science workflows,949,Python,https://github.com/d6t/d6tflow,Beginner
data-science-career,"Career Resources for Data Science, Machine Learning, Big Data and Business Analytics Career Repository",946,,https://github.com/firmai/data-science-career,Beginner
datasci_course_materials,Public repository for course materials for the Data Science at Scale Specialization at Coursera,918,HTML,https://github.com/uwescience/datasci_course_materials,Beginner
Pandas-Data-Science-Tasks,Set of real world data science tasks completed using the Python Pandas library,904,Jupyter Notebook,https://github.com/KeithGalli/Pandas-Data-Science-Tasks,Beginner
Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,,884,Jupyter Notebook,https://github.com/bansalkanav/Ultimate-Data-Science-Toolkit---From-Python-Basics-to-GenerativeAI,Beginner
visualpython,"GUI-based Python code generator for data science, extension to Jupyter Lab, Jupyter Notebook and Google Colab.",877,JavaScript,https://github.com/visualpython/visualpython,Beginner
computer-science,"Contains the basic fundamental data structures and algorithms a front end engineer should know, written all in JavaScript.",862,JavaScript,https://github.com/davidshariff/computer-science,Beginner
python-for-data-analysis,An introduction to data science using Python and Pandas with Jupyter notebooks,854,Jupyter Notebook,https://github.com/cuttlefishh/python-for-data-analysis,Beginner
Daily-Dose-of-Data-Science,A collection of code snippets from the publication Daily Dose of Data Science on Substack: http://www.dailydoseofds.com/,839,Jupyter Notebook,https://github.com/ChawlaAvi/Daily-Dose-of-Data-Science,Beginner
Awesome-AI-Data-GitHub-Repos,"A collection of the most important Github repos for ML, AI & Data science practitioners ",822,,https://github.com/youssefHosni/Awesome-AI-Data-GitHub-Repos,Beginner
datacamp-python-data-science-track,"All the slides, accompanying code and exercises all stored in this repo. 🎈",820,Python,https://github.com/AmoDinho/datacamp-python-data-science-track,Beginner
Data-Science--Cheat-Sheet,Cheat Sheets,818,,https://github.com/georgearun/Data-Science--Cheat-Sheet,Beginner
textbook,The textbook Computational and Inferential Thinking: The Foundations of Data Science,815,Jupyter Notebook,https://github.com/data-8/textbook,Beginner
tuplex,"Tuplex is a parallel big data processing framework that runs data science pipelines written in Python at the speed of compiled code. Tuplex has similar Python APIs to Apache Spark or Dask, but rather than invoking the Python interpreter, Tuplex generates optimized LLVM bytecode for the given pipeline and input data set.",810,C++,https://github.com/tuplex/tuplex,Beginner
Data-Science-Competitions,"Goal of this repo is to provide the solutions of all Data Science Competitions(Kaggle, Data Hack, Machine Hack, Driven Data etc...).",802,,https://github.com/the-black-knight-01/Data-Science-Competitions,Beginner
DAT4,"General Assembly's Data Science course in Washington, DC",798,Jupyter Notebook,https://github.com/justmarkham/DAT4,Beginner
kuwala,"Kuwala is the no-code data platform for BI analysts and engineers enabling you to build powerful analytics workflows. We are set out to bring state-of-the-art data engineering tools you love, such as Airbyte, dbt, or Great Expectations together in one intuitive interface built with React Flow. In addition we provide third-party data into data science models and products with a focus on geospatial data.  Currently, the following data connectors are available worldwide: a) High-resolution demographics data b) Point of Interests from Open Street Map c) Google Popular Times",794,JavaScript,https://github.com/kuwala-io/kuwala,Beginner
Books-,Books for Data Science,779,,https://github.com/Saurav6789/Books-,Beginner
business-machine-learning,"A curated list of practical business machine learning (BML) and business data science (BDS) applications for Accounting, Customer, Employee, Legal, Management and Operations (by @firmai)",777,Jupyter Notebook,https://github.com/firmai/business-machine-learning,Beginner
OpenSource-RoadMap-DataScience,¡Camino a una educación autodidacta en Ciencia de Datos!,773,Jupyter Notebook,https://github.com/DataScienceResearchPeru/OpenSource-RoadMap-DataScience,Beginner
DataScienceSpCourseNotes,Compiled Notes for all 9 courses in the Coursera Data Science Specialization,768,HTML,https://github.com/sux13/DataScienceSpCourseNotes,Beginner
ModernDive_book,Statistical Inference via Data Science: A ModernDive into R and the Tidyverse,763,HTML,https://github.com/moderndive/ModernDive_book,Beginner
data-science-roadmap,Roadmap for Data Science ,753,,https://github.com/ayush714/data-science-roadmap,Beginner
earthdata-search,"Earthdata Search is a web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",753,JavaScript,https://github.com/nasa/earthdata-search,Beginner
DataScienceCourse,This holds iPython notebooks and lecture slides for the Intro to Data Science Master's course I teach at NYU.,752,Jupyter Notebook,https://github.com/briandalessandro/DataScienceCourse,Beginner
pybossa,PYBOSSA is the ultimate crowdsourcing framework (aka microtasking) to analyze or enrich data that can't be processed by machines alone.,749,Python,https://github.com/Scifabric/pybossa,Beginner
Kaggler,Code for Kaggle Data Science Competitions,746,Python,https://github.com/jeongyoonlee/Kaggler,Beginner
python_ka_chilla2023,This repository contains whole material of 40 days course on Python for Data Science in Urdu/Hindi 2023 Details are here: Registration details of our course is given here: https://www.facebook.com/groups/codanics/permalink/1837695129921140/.           More details on the course can be found in this google form: https://forms.gle/kDyUnD1nrN2LF6qy8,739,,https://github.com/AammarTufail/python_ka_chilla2023,Beginner
Data-Science-Resources,,736,,https://github.com/Chandra0505/Data-Science-Resources,Beginner
data-science-with-ruby,Practical Data Science with Ruby based tools.,710,Ruby,https://github.com/arbox/data-science-with-ruby,Beginner
DataScienceProjects,"The code repository for projects and tutorials in R and Python that covers a variety of topics in data visualization, statistics sports analytics and general application of probability theory.",709,Jupyter Notebook,https://github.com/tuangauss/DataScienceProjects,Beginner
data-science-template,Template for a data science project,703,Python,https://github.com/khuyentran1401/data-science-template,Beginner
meta,A Modern C++ Data Sciences Toolkit,702,C++,https://github.com/meta-toolkit/meta,Beginner
wikipedia-data-science,Working with and analyzing Wikipedia Data,693,Jupyter Notebook,https://github.com/WillKoehrsen/wikipedia-data-science,Beginner
sklearn-classification,"Data Science Notebook on a Classification Task, using sklearn and Tensorflow.",692,Jupyter Notebook,https://github.com/dformoso/sklearn-classification,Beginner
IPython-Dashboard,"A stand alone, light-weight web server for building, sharing graphs created in ipython. Build for data science, data analysis guys. Aiming at building  an interactive visualization, collaborated dashboard, and real-time streaming graph. ",689,Python,https://github.com/litaotao/IPython-Dashboard,Beginner
Data-Science-Projects-with-Python,"A Case Study Approach to Successful Data Science Projects Using Python, Pandas, and Scikit-Learn",688,Jupyter Notebook,https://github.com/TrainingByPackt/Data-Science-Projects-with-Python,Beginner
python-aiplatform,"A Python SDK for Vertex AI, a fully managed, end-to-end platform for data science and machine learning.",688,Python,https://github.com/googleapis/python-aiplatform,Beginner
awesome-learn-datascience,:chart_with_upwards_trend: Curated list of resources to help you get started with Data Science,670,,https://github.com/siboehm/awesome-learn-datascience,Beginner
lineapy,"Move fast from data science prototype to pipeline. Capture, analyze, and transform messy notebooks into data pipelines with just two lines of code.",665,Jupyter Notebook,https://github.com/LineaLabs/lineapy,Beginner
DAT3,"General Assembly's Data Science course in Washington, DC",663,Roff,https://github.com/justmarkham/DAT3,Beginner
graph-data-science,Source code for the Neo4j Graph Data Science library of graph algorithms.,656,Java,https://github.com/neo4j/graph-data-science,Beginner
competitive-data-science,"Materials for ""How to Win a Data Science Competition: Learn from Top Kagglers"" course",654,Jupyter Notebook,https://github.com/hse-aml/competitive-data-science,Beginner
datascience,A Python library for introductory data science,652,Jupyter Notebook,https://github.com/data-8/datascience,Beginner
awesome,"Awesome resources on Bioinformatics, data science, machine learning, programming language (Python, Golang, R, Perl) and miscellaneous stuff.",651,,https://github.com/shenwei356/awesome,Beginner
single-parameter-fit,"Real numbers, data science and chaos: How to fit any dataset with a single parameter",647,Jupyter Notebook,https://github.com/Ranlot/single-parameter-fit,Beginner
datasciencectacontent,repository for Community Mentor content related to the Johns Hopkins University Data Science Specialization on Coursera,641,HTML,https://github.com/lgreski/datasciencectacontent,Beginner
Data-Science-Gen-AI-Playlist-2024,,639,,https://github.com/krishnaik06/Data-Science-Gen-AI-Playlist-2024,Beginner
iris,"A powerful, format-agnostic, and community-driven Python package for analysing and visualising Earth science data",637,Python,https://github.com/SciTools/iris,Beginner
codespaces-jupyter,Explore machine learning and data science with Codespaces,633,Jupyter Notebook,https://github.com/github/codespaces-jupyter,Beginner
data-science-roadmap,"Learning from multiple companies in Silicon Valley. Netflix, Facebook, Google, Startups",632,,https://github.com/boringPpl/data-science-roadmap,Beginner
data-structures-algorithms,"Data structures and algorithms are fundamental concepts in computer science and programming.Data structures are ways of organizing and storing data, and algorithms are step-by-step procedures for solving problems or performing tasks.",629,C++,https://github.com/nishant-Tiwari24/data-structures-algorithms,Beginner
ScienceQA,"Data and code for NeurIPS 2022 Paper ""Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering"".",628,Python,https://github.com/lupantech/ScienceQA,Beginner
Real-time-ML-Project,A curated list of applied machine learning and data science notebooks and libraries across different industries.,625,,https://github.com/ashishpatel26/Real-time-ML-Project,Beginner
testovoe,Home assignments for data science positions,622,Jupyter Notebook,https://github.com/slgero/testovoe,Beginner
datasets,A repository of pretty cool datasets that I collected for network science and machine learning research.,620,,https://github.com/benedekrozemberczki/datasets,Beginner
sjPlot,sjPlot - Data Visualization for Statistics in Social Science,618,R,https://github.com/strengejacke/sjPlot,Beginner
PyGrid-deprecated---see-PySyft-,"A Peer-to-peer Platform for Secure, Privacy-preserving, Decentralized Data Science",616,Python,https://github.com/OpenMined/PyGrid-deprecated---see-PySyft-,Beginner
book_sample,another book on data science,608,Python,https://github.com/rnorm/book_sample,Beginner
Streamlit_DataScience_Apps,Streamlit Data Science and ML Apps in Python,606,HTML,https://github.com/Jcharis/Streamlit_DataScience_Apps,Beginner
kglab,"Graph Data Science: an abstraction layer in Python for building knowledge graphs, integrated with popular graph libraries – atop Pandas, NetworkX, RAPIDS, RDFlib, pySHACL, PyVis, morph-kgc, pslpython, pyarrow, etc.",605,Jupyter Notebook,https://github.com/DerwenAI/kglab,Beginner
data-science-your-way,Ways of doing Data Science Engineering and Machine Learning in R and Python,599,Jupyter Notebook,https://github.com/jadianes/data-science-your-way,Beginner
Complete-Life-Cycle-of-a-Data-Science-Project,Complete-Life-Cycle-of-a-Data-Science-Project,593,,https://github.com/achuthasubhash/Complete-Life-Cycle-of-a-Data-Science-Project,Beginner
geospatial-machine-learning,A curated list of resources focused on Machine Learning in Geospatial Data Science.,588,,https://github.com/deepVector/geospatial-machine-learning,Beginner
algorithms-and-data-structures-cheat-sheet,Providing a summary of important algorithms and data structures along with their key characteristics and use cases. It can be used as a quick reference for solving programming problems or refreshing knowledge of foundational computer science concepts.,586,Python,https://github.com/tajpouria/algorithms-and-data-structures-cheat-sheet,Beginner
nanopolish,Signal-level algorithms for MinION data,579,C++,https://github.com/jts/nanopolish,Beginner
